Municipio,Departamento,Votos para senado 2014,Porcentaje de Oscar Ivan Zuluaga (1ra vuelta),Total (1ra vuelta),Participacion (1ra vuelta),Ganador (1ra vuelta),Porcentaje de Oscar Ivan Zuluaga (2da vuelta),Total (2da vuelta),Participacion (2da vuelta),Ganador,Censo electoral 2016,Actos terroristas,Amenaza,Desplazamiento,Homicidio,Secuestro,Vinculacion de Niños y Adolescentes,Minas Antipersonal,Abandono o Despojo de Tierras,Afectado por el conflicto (Pares),Afectado por el conflicto (Pares)2,Votos por el No,No,Votos por el Si,Si,Votos validos,Votos totales,Cuantos salieron a votar,ind ruralidad 2014,Zonas de concentracion,Cultivos ilicitos,Hectareas de coca,Hectareas de amapola
MEDELLIN,ANTIOQUIA,430064,38.48%,700732,49.61%,Zuluaga,63.04%,709359,50.22%,Zuluaga,1508418,0.76,8.93,50.46,27.62,0.15,0.06,0.01,0,Ninguno,0,431173,0.629706114,253548,0.370293886,684721,694784,46.06%,1.24%,No,No,0,0
ABEJORRAL,ANTIOQUIA,4135,62.52%,4827,32.31%,Zuluaga,78.54%,6748,45.17%,Zuluaga,15274,3.39,25.89,502.84,46.21,3.7,0.05,0.26,0,Ninguno,0,2105,0.618935607,1296,0.381064393,3401,3647,23.88%,65.76%,No,No,0,0
ABRIAQUI,ANTIOQUIA,726,40.76%,709,37.26%,Zuluaga,60.33%,852,44.77%,Zuluaga,1938,3.86,22.17,828.92,154.22,11.08,0,0,0,Ninguno,0,332,0.609174312,213,0.390825688,545,572,29.51%,64.87%,No,No,0,0
ALEJANDRIA,ANTIOQUIA,1675,29.19%,1720,39.30%,Santos,44.34%,2163,49.42%,Santos,4577,8.15,49.49,1810.77,162.74,18.92,0.58,3.2,0,Ninguno,0,696,0.418772563,966,0.581227437,1662,1735,37.91%,48.09%,No,No,0,0
AMAGA,ANTIOQUIA,5742,33.36%,7407,35.45%,Zuluaga,53.28%,8814,42.19%,Zuluaga,22028,0.6,8.13,62.38,25.39,0.44,0.03,0,0,Ninguno,0,4139,0.665113289,2084,0.334886711,6223,6370,28.92%,43.62%,No,No,0,0
AMALFI,ANTIOQUIA,2320,43.61%,3896,24.99%,Zuluaga,74.78%,4738,30.40%,Zuluaga,16928,2.29,21.48,361.57,62.42,1.84,0.36,1.84,0,Intermedio,2,2304,0.637520753,1310,0.362479247,3614,3818,22.55%,44.76%,No,Si,28.36,0
ANDES,ANTIOQUIA,11671,53.28%,11417,34.68%,Zuluaga,75.27%,13716,41.67%,Zuluaga,34842,0.97,7.83,88.19,39.07,1,0.09,0,0,Ninguno,0,5729,0.642120601,3193,0.357879399,8922,9093,26.10%,50.84%,No,No,0,0
ANGELOPOLIS,ANTIOQUIA,1776,42.82%,1742,31.87%,Zuluaga,68.72%,2270,41.53%,Zuluaga,5679,0.44,9.14,180.8,31.82,0.99,0,0,0,Ninguno,0,1004,0.644829801,553,0.355170199,1557,1589,27.98%,40.92%,No,No,0,0
ANGOSTURA,ANTIOQUIA,2080,40.02%,2806,32.51%,Zuluaga,61.57%,3510,40.66%,Zuluaga,9154,3.38,16.73,375.09,54.27,3.65,0.36,1.42,0,Bajo,1,1089,0.607023411,705,0.392976589,1794,1935,21.14%,83.89%,No,No,0,0
ANORI,ANTIOQUIA,1308,24.32%,1920,18.80%,Santos,41.80%,2354,23.04%,Santos,11144,7.22,30.28,824.43,63.4,1.56,1.21,10.69,0,Alto,3,953,0.350754509,1764,0.649245491,2717,2984,26.78%,60.75%,Si,Si,256.05,0
SANTA FE DE ANTIOQUIA,ANTIOQUIA,4734,33.26%,7567,40.82%,Zuluaga,55.94%,8438,45.52%,Zuluaga,19732,0.53,9.34,144.03,38.22,1.54,0,0.2,0,Ninguno,0,3300,0.617861824,2041,0.382138176,5341,5495,27.85%,36.64%,No,No,0,0
ANZA,ANTIOQUIA,1542,55.27%,1802,33.86%,Zuluaga,73.68%,2394,44.98%,Zuluaga,5715,1.19,12.53,586.81,80.34,2.37,0.4,0,0,Ninguno,0,740,0.670897552,363,0.329102448,1103,1150,20.12%,83.43%,No,No,0,0
APARTADO,ANTIOQUIA,20033,26.97%,30717,37.36%,Santos,35.34%,37444,45.55%,Santos,89196,2.51,12.34,384.53,49.16,0.84,0.24,0.3,0.6,Bajo,1,12936,0.476797759,14195,0.523202241,27131,27961,31.35%,13.55%,No,Si,8.9,0
ARBOLETES,ANTIOQUIA,7792,27.29%,7800,36.50%,Santos,31.26%,10232,47.88%,Santos,21448,0.97,7.62,551.31,20.89,0.95,0.1,0,0,Ninguno,0,1937,0.344171997,3691,0.655828003,5628,5866,27.35%,58.13%,No,No,0,0
ARGELIA,ANTIOQUIA,1854,75.94%,2415,37.22%,Zuluaga,86.37%,2920,45.00%,Zuluaga,6627,35.56,108.65,2624.74,168.22,115.18,2.68,7.81,0,Ninguno,0,1351,0.675162419,650,0.324837581,2001,2065,31.16%,70.73%,No,No,0,0
ARMENIA,ANTIOQUIA,1327,42.73%,1416,29.31%,Zuluaga,59.10%,1890,39.12%,Zuluaga,4844,1.46,27.49,144.53,62.29,0.49,0,0,0,Ninguno,0,676,0.691914023,301,0.308085977,977,1026,21.18%,62.81%,No,No,0,0
BARBOSA,ANTIOQUIA,11155,33.62%,14269,40.19%,Zuluaga,54.25%,15639,44.05%,Zuluaga,38541,1,7.48,82.03,49.54,0.75,0.02,0,0,Ninguno,0,8666,0.673558215,4200,0.326441785,12866,13430,34.85%,54.19%,No,No,0,0
BELMIRA,ANTIOQUIA,1791,32.16%,1729,38.68%,Zuluaga,53.13%,1967,44.00%,Zuluaga,4807,0.73,8.35,86.77,33.42,1.91,0,0,0,Ninguno,0,897,0.566287879,687,0.433712121,1584,1617,33.64%,71.64%,No,No,0,0
BELLO,ANTIOQUIA,76954,29.24%,120174,40.49%,Zuluaga,53.14%,124446,41.93%,Zuluaga,318411,0.22,3.09,20.52,21.39,0.11,0.02,0,0,Ninguno,0,76122,0.635600013,43642,0.364399987,119764,121850,38.27%,1.66%,No,No,0,0
BETANIA,ANTIOQUIA,2454,69.54%,2541,30.83%,Zuluaga,82.48%,3304,40.09%,Zuluaga,8372,2.18,43.64,317.37,68.13,1.63,0,0,0,Ninguno,0,1110,0.704314721,466,0.295685279,1576,1609,19.22%,58.95%,No,No,0,0
BETULIA,ANTIOQUIA,3320,65.04%,4514,35.29%,Zuluaga,80.69%,5603,43.80%,Zuluaga,13377,2.22,30.33,1111.61,64.13,3.86,0.62,0.11,0,Ninguno,0,1919,0.65629275,1005,0.34370725,2924,3023,22.60%,67.02%,No,No,0,0
CIUDAD BOLIVAR,ANTIOQUIA,5494,48.00%,7834,33.76%,Zuluaga,75.73%,9502,40.95%,Zuluaga,24029,1,12.76,161.63,64.4,1.82,0.19,0.04,0,Ninguno,0,3875,0.702119949,1644,0.297880051,5519,5636,23.45%,40.42%,No,No,0,0
BRICENO,ANTIOQUIA,1134,29.45%,995,17.10%,Zuluaga,64.47%,1216,20.90%,Zuluaga,6169,7.48,63.51,806.95,75.82,2.76,0.69,7.25,0,Intermedio,2,604,0.30644343,1367,0.69355657,1971,2078,33.68%,71.06%,No,Si,91.45,0
BURITICA,ANTIOQUIA,1432,38.34%,1651,25.68%,Zuluaga,60.22%,2114,32.88%,Zuluaga,6829,1.98,43.71,1001.68,36.4,2.74,0.46,0.3,0,Ninguno,0,890,0.652492669,474,0.347507331,1364,1406,20.59%,76.91%,No,No,0,0
CACERES,ANTIOQUIA,5279,19.87%,5430,27.97%,Santos,32.31%,7639,39.34%,Santos,19788,3.14,32.2,471.89,33.51,1.06,0.39,1.08,0,Alto,3,1358,0.351449275,2506,0.648550725,3864,4004,20.23%,77.06%,No,Si,420.12,0
CAICEDO,ANTIOQUIA,1429,62.09%,2263,39.13%,Zuluaga,82.38%,2786,48.17%,Zuluaga,6091,3.26,19.82,370.63,79.52,1.69,0.12,1.09,0,Ninguno,0,921,0.608322325,593,0.391677675,1514,1600,26.27%,80.21%,No,No,0,0
CALDAS,ANTIOQUIA,15977,24.46%,27069,48.27%,Zuluaga,42.68%,27397,48.86%,Santos,60580,0.46,2.67,19.12,19.12,0.27,0.03,0,0,Ninguno,0,16149,0.634762784,9292,0.365237216,25441,25961,42.85%,21.37%,No,No,0,0
CAMPAMENTO,ANTIOQUIA,1414,18.52%,1409,23.84%,Santos,36.33%,1602,27.10%,Santos,6360,23.69,102.82,418.71,102.71,10.74,0.44,5.09,0,Intermedio,2,604,0.493867539,619,0.506132461,1223,1296,20.38%,68.82%,No,Si,25.6,0
CANASGORDAS,ANTIOQUIA,5609,49.33%,6001,47.12%,Zuluaga,59.97%,6878,54.01%,Zuluaga,13402,2.51,24.24,479.2,81.01,3.52,0.24,0.42,0,Ninguno,0,2739,0.589032258,1911,0.410967742,4650,4884,36.44%,61.42%,No,No,0,0
CARACOLI,ANTIOQUIA,1308,29.34%,1261,27.18%,Zuluaga,50.43%,1741,37.53%,Zuluaga,4856,1.09,29.77,208.58,47.93,3.94,0,0.22,0,Ninguno,0,593,0.506404782,578,0.493595218,1171,1199,24.69%,34.29%,No,No,0,0
CARAMANTA,ANTIOQUIA,1407,44.05%,2075,40.36%,Zuluaga,54.31%,2530,49.21%,Zuluaga,5231,0.94,17.23,129.96,69.48,0.56,0,0,0,Ninguno,0,790,0.58173785,568,0.41826215,1358,1417,27.09%,45.64%,No,No,0,0
CAREPA,ANTIOQUIA,9465,31.96%,12736,33.12%,Santos,37.71%,16436,42.74%,Santos,41461,1,16.55,343.99,52.67,1.22,0.21,0.19,0,Bajo,1,6057,0.532062544,5327,0.467937456,11384,11733,28.30%,23.88%,No,No,0,0
EL CARMEN DE VIBORAL,ANTIOQUIA,11198,32.16%,17189,56.22%,Zuluaga,60.36%,16990,55.57%,Zuluaga,33070,0.89,3.95,190.73,48.08,0.8,0.15,0.27,0,Ninguno,0,10787,0.661170702,5528,0.338829298,16315,16750,50.65%,36.46%,No,No,0,0
CAROLINA,ANTIOQUIA,993,27.72%,1324,32.82%,Zuluaga,52.68%,1401,34.73%,Zuluaga,4081,1.95,9.77,107.17,54.42,2.23,0,0,0,Ninguno,0,641,0.580090498,464,0.419909502,1105,1150,28.18%,19.44%,No,No,0,0
CAUCASIA,ANTIOQUIA,19648,23.60%,21201,35.01%,Santos,43.27%,25098,41.45%,Santos,66133,1.06,12.78,183.55,18.19,0.66,0.15,0.13,0.2,Intermedio,2,11495,0.566367757,8801,0.433632243,20296,20911,31.62%,18.11%,No,No,0,0
CHIGORODO,ANTIOQUIA,10252,23.73%,14234,34.21%,Santos,29.62%,18560,44.60%,Santos,44791,1.91,16.72,412.83,67.17,1.1,0.12,0.13,0,Bajo,1,5745,0.476091821,6322,0.523908179,12067,12392,27.67%,12.91%,No,No,0,0
CISNEROS,ANTIOQUIA,3439,24.79%,3989,35.85%,Santos,48.24%,4646,41.76%,Zuluaga,11434,1.44,5.22,117.14,77.13,1.22,0,0,0,Ninguno,0,1837,0.628894214,1084,0.371105786,2921,3017,26.39%,16.54%,No,No,0,0
COCORNA,ANTIOQUIA,4368,48.44%,5533,44.35%,Zuluaga,57.65%,6314,50.61%,Zuluaga,12965,10.22,36.55,2154.91,166.6,16.11,1.54,2.94,0,Ninguno,0,3006,0.646034816,1647,0.353965184,4653,4864,37.52%,73.53%,No,No,0,0
CONCEPCION,ANTIOQUIA,1345,44.60%,1807,40.59%,Zuluaga,71.65%,2074,46.59%,Zuluaga,4409,3.26,22.22,962.37,127.11,5.33,0,0.3,0,Ninguno,0,931,0.619427811,572,0.380572189,1503,1553,35.22%,59.85%,No,No,0,0
CONCORDIA,ANTIOQUIA,3896,63.31%,5274,34.29%,Zuluaga,78.38%,6546,42.56%,Zuluaga,16027,1.41,38.95,201.7,42.3,1.7,0.1,0.05,0,Ninguno,0,2081,0.675868789,998,0.324131211,3079,3184,19.87%,58.69%,No,No,0,0
COPACABANA,ANTIOQUIA,16080,26.59%,24926,44.06%,Zuluaga,47.05%,25395,44.89%,Zuluaga,62062,0.24,1.14,12.47,19.98,0.15,0,0,0,Ninguno,0,15052,0.612193436,9535,0.387806564,24587,25279,40.73%,12.76%,No,No,0,0
DABEIBA,ANTIOQUIA,3523,31.92%,3969,25.02%,Santos,38.62%,5784,36.46%,Santos,16986,7.77,96.48,1664.22,123.93,5.24,2.06,5.2,0,Alto,3,1622,0.353146092,2971,0.646853908,4593,4858,28.60%,62.10%,Si,No,0,0
DON MATIAS,ANTIOQUIA,5035,54.69%,6722,42.42%,Zuluaga,81.02%,7209,45.50%,Zuluaga,16576,0.44,4.49,23.1,18.57,0.18,0.04,0,0,Ninguno,0,3898,0.739798823,1371,0.260201177,5269,5381,32.46%,34.30%,No,No,0,0
EBEJICO,ANTIOQUIA,3027,51.73%,4015,36.10%,Zuluaga,70.12%,5237,47.09%,Zuluaga,11421,0.24,9.91,76.26,26.3,0.56,0.08,0,0,Ninguno,0,1788,0.649001815,967,0.350998185,2755,2846,24.92%,82.34%,No,No,0,0
EL BAGRE,ANTIOQUIA,9093,26.63%,7265,21.80%,Zuluaga,53.99%,9933,29.80%,Zuluaga,36056,4.51,37.06,808.09,18.69,0.98,0.98,0.52,0,Alto,3,4056,0.561539527,3167,0.438460473,7223,7520,20.86%,47.40%,No,Si,85.34,0
ENTRERRIOS,ANTIOQUIA,2057,41.49%,2979,39.83%,Zuluaga,69.46%,3428,45.83%,Zuluaga,7957,0.2,2.28,21.38,12.18,0.3,0,0,0,Ninguno,0,1766,0.670463174,868,0.329536826,2634,2680,33.68%,48.37%,No,No,0,0
ENVIGADO,ANTIOQUIA,69145,38.59%,110606,49.14%,Zuluaga,65.06%,107922,47.94%,Zuluaga,232003,0.04,0.51,2.14,6.97,0.06,0,0,0,Ninguno,0,67255,0.640188473,37800,0.359811527,105055,106988,46.11%,3.59%,No,No,0,0
FREDONIA,ANTIOQUIA,5074,38.04%,5720,32.41%,Zuluaga,63.42%,7015,39.75%,Zuluaga,18196,0.33,2.71,32.53,28.94,0.47,0,0,0,Ninguno,0,3064,0.642752255,1703,0.357247745,4767,4858,26.70%,60.43%,No,No,0,0
FRONTINO,ANTIOQUIA,2982,23.84%,4043,25.12%,Santos,37.77%,5401,33.55%,Santos,16785,2.82,29.06,955.49,92.94,7.79,0.55,0.37,0,Intermedio,2,1744,0.448098664,2148,0.551901336,3892,4038,24.06%,58.52%,No,No,0,0
GIRALDO,ANTIOQUIA,1391,39.10%,1527,41.62%,Zuluaga,53.21%,1981,53.99%,Zuluaga,3946,1.25,43.4,194.81,56.87,2.24,0,0,0,Ninguno,0,557,0.455437449,666,0.544562551,1223,1251,31.70%,67.90%,No,No,0,0
GIRARDOTA,ANTIOQUIA,11279,21.80%,17939,41.85%,Ramirez,39.32%,18466,43.08%,Santos,47612,0.29,2.13,19.81,20.15,0.11,0.02,0,0,Ninguno,0,10680,0.636927481,6088,0.363072519,16768,17135,35.99%,40.22%,No,No,0,0
GOMEZ PLATA,ANTIOQUIA,1953,32.47%,2559,32.21%,Zuluaga,56.09%,2963,37.30%,Zuluaga,8404,0.85,6.33,59.55,28,0.15,0.08,0.15,0,Ninguno,0,1328,0.632380952,772,0.367619048,2100,2192,26.08%,53.81%,No,No,0,0
GRANADA,ANTIOQUIA,2093,57.42%,4054,40.52%,Zuluaga,74.43%,4438,44.35%,Zuluaga,10270,22.1,78.25,3517.43,243.16,11.96,0.91,6.99,12.47,Ninguno,0,2120,0.605368361,1382,0.394631639,3502,3630,35.35%,62.71%,No,No,0,0
GUADALUPE,ANTIOQUIA,1684,13.65%,1648,29.96%,Santos,36.75%,1807,32.85%,Santos,5656,4.28,17.6,206.15,55.82,2.06,0,3.01,0,Ninguno,0,587,0.451191391,714,0.548808609,1301,1388,24.54%,66.83%,No,No,0,0
GUARNE,ANTIOQUIA,9621,36.36%,15327,52.86%,Zuluaga,66.86%,15853,54.67%,Zuluaga,31687,0.6,2.57,23.98,26.96,0.14,0,0.02,0,Ninguno,0,10604,0.732624015,3870,0.267375985,14474,14804,46.72%,63.38%,No,No,0,0
GUATAPE,ANTIOQUIA,3045,37.79%,3395,55.46%,Zuluaga,61.69%,3508,57.30%,Zuluaga,6523,0.38,16.82,374.12,66.34,6.12,0.19,0.38,0,Ninguno,0,1966,0.614759225,1232,0.385240775,3198,3261,49.99%,21.99%,No,No,0,0
HELICONIA,ANTIOQUIA,1721,30.35%,2178,37.55%,Santos,49.26%,2513,43.32%,Zuluaga,6157,1.37,14.39,325.17,62.19,0.69,0,0,0,Ninguno,0,795,0.557112824,632,0.442887176,1427,1492,24.23%,49.44%,No,No,0,0
HISPANIA,ANTIOQUIA,1844,40.33%,1619,31.72%,Zuluaga,52.34%,2094,41.03%,Zuluaga,5219,0.21,5.95,53.96,50.06,0.21,0.41,0,0,Ninguno,0,654,0.587601078,459,0.412398922,1113,1142,21.88%,33.94%,No,No,0,0
ITAGUI,ANTIOQUIA,67981,29.30%,99543,43.02%,Zuluaga,49.19%,103795,44.86%,Zuluaga,245703,0.3,2.49,17.76,24.5,0.1,0.01,0.01,0,Ninguno,0,59627,0.62902324,35166,0.37097676,94793,96563,39.30%,8.57%,No,No,0,0
ITUANGO,ANTIOQUIA,2379,23.62%,3243,19.14%,Santos,38.74%,4127,24.36%,Santos,17406,14.01,72.33,1866.54,112.66,4.31,2.96,12.8,0,Intermedio,2,1196,0.306509482,2706,0.693490518,3902,4157,23.88%,72.63%,Si,Si,41.37,0
JARDIN,ANTIOQUIA,3706,43.63%,5317,46.47%,Zuluaga,71.90%,5908,51.64%,Zuluaga,12094,1.1,5.27,89.81,40.3,8.19,0,0.07,0,Ninguno,0,2884,0.640319716,1620,0.359680284,4504,4594,37.99%,48.04%,No,No,0,0
JERICO,ANTIOQUIA,3405,47.16%,4277,38.97%,Zuluaga,75.54%,5049,46.00%,Zuluaga,11023,0.33,2.08,22.3,15.73,0.33,0,0,0,Ninguno,0,2341,0.709824136,957,0.290175864,3298,3373,30.60%,30.99%,No,No,0,0
LA CEJA,ANTIOQUIA,14189,38.06%,23222,56.39%,Zuluaga,63.58%,23318,56.63%,Zuluaga,44306,0.69,2.21,40.1,33.36,0.49,0.09,0,0,Ninguno,0,15589,0.698932927,6715,0.301067073,22304,22800,51.46%,13.42%,No,No,0,0
LA ESTRELLA,ANTIOQUIA,14904,31.27%,20787,43.13%,Zuluaga,52.74%,21750,45.13%,Zuluaga,50695,0.32,2.62,10.66,16.25,0.17,0,0,0,Ninguno,0,11716,0.635323464,6725,0.364676536,18441,18723,36.93%,44.15%,No,No,0,0
LA PINTADA,ANTIOQUIA,1979,50.51%,2574,42.13%,Zuluaga,66.78%,3043,49.81%,Zuluaga,6588,0.77,22.9,150.76,54.1,1.54,0,0,0,Ninguno,0,1389,0.577306733,1017,0.422693267,2406,2459,37.33%,12.68%,No,No,0,0
LA UNION,ANTIOQUIA,5225,43.65%,7981,52.18%,Zuluaga,70.30%,8627,56.41%,Zuluaga,16219,2.03,7.02,426.91,62.41,4.32,0.16,0.52,0,Ninguno,0,4782,0.652120551,2551,0.347879449,7333,7529,46.42%,44.20%,No,No,0,0
LIBORINA,ANTIOQUIA,3297,47.99%,3378,38.17%,Zuluaga,70.25%,4117,46.53%,Zuluaga,9204,2.3,65.16,578.36,48.82,2.1,0.42,0.1,0,Ninguno,0,1674,0.642117376,933,0.357882624,2607,2703,29.37%,81.45%,No,No,0,0
MACEO,ANTIOQUIA,1916,31.93%,2258,31.13%,Zuluaga,50.28%,2876,39.65%,Zuluaga,7467,5.46,75.72,346.72,98.89,28.34,0.15,0,0,Ninguno,0,1065,0.578175896,777,0.421824104,1842,1899,25.43%,58.60%,No,No,0,0
MARINILLA,ANTIOQUIA,11413,41.79%,18524,50.80%,Zuluaga,62.74%,19104,52.39%,Zuluaga,38176,0.85,2.71,71.22,28.11,0.41,0.02,0.02,0,Ninguno,0,11993,0.686333982,5481,0.313666018,17474,17767,46.54%,22.04%,No,No,0,0
